2;3 GEL;;Suspensión Oral;SUSPENSION;Caja Sobre x 10 mL;20;05/03/2019 12:00:00 a.m.;E21593;DROPESAC;ACT
3;A FOLIC;0.5 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;30;19/04/2015 12:00:00 a.m.;N21715;IQ FARMA;ACT
4;AB AMBROMOX;300 mg;Polvo para Suspensión Inyectable;INYECTABLE;Vial + Accesorios;1;23/04/2013 12:00:00 a.m.;N20639;FARMINDUSTRIA;ACT
5;AB AMBROMOX;600 mg;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;1;13/11/2012 12:00:00 a.m.;N20372;FARMINDUSTRIA;ACT
6;AB AMBROMOX;1 200 mg;Polvo para Solución Inyectable;INYECTABLE;Vial + Accesorios;1;13/11/2012 12:00:00 a.m.;N20373;FARMINDUSTRIA;ACT
7;AB BRONPAMOX;300 mg;Polvo para Solución Inyectable;INYECTABLE;Vial;1;06/02/2013 12:00:00 a.m.;N20542;FARMINDUSTRIA;ACT
8;AB BRONPAMOX;600 mg;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;1;05/02/2013 12:00:00 a.m.;N20541;FARMINDUSTRIA;ACT
9;AB BRONPAMOX;1.2 g;Polvo para Suspensión Inyectable;INYECTABLE;Caja Vial;1;05/02/2013 12:00:00 a.m.;N20540;FARMINDUSTRIA;ACT
80;ACETAZOLAMIDA;250 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;30;14/06/2017 12:00:00 a.m.;NG3379;FARMINDUSTRIA;ACT
95;ACICLOVIR;200 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;17/01/2020 12:00:00 a.m.;NG2271;INDUQUIMICA;ACT
96;ACICLOVIR;400 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;21/09/2021 12:00:00 a.m.;NG5091;INDUQUIMICA;ACT
99;ACICLOVIR;3%;Ungüento Oftálmico;UNGUENTO OFTALMICO;Tubo X 3.5 g;1;15/12/2019 12:00:00 a.m.;NG2229;LANSIER;ACT
102;ACICLOVIR;200 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;21/02/2017 12:00:00 a.m.;NG3216;NATURGEN;ACT
108;ACICLOVIR;800 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;10;07/09/2017 12:00:00 a.m.;NG0645;FARMINDUSTRIA;ACT
117;ACICLOVIR;5%;Crema;CREMA;Caja Tubo X 5 g;1;27/11/2021 12:00:00 a.m.;NG1521;TEVA;ACT
118;ACICLOVIR;200 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;60;11/11/2018 12:00:00 a.m.;NG1835;TEVA;ACT
123;ACIDO ALENDRONICO;70 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;4;08/08/2013 12:00:00 a.m.;NG3864;INDUQUIMICA;ACT
126;ACIDO ALENDRONICO;70 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;20;13/12/2019 12:00:00 a.m.;NG4544;TEVA;ACT
138;ACIDO FOLICO;0.5 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;30;21/05/2022 12:00:00 a.m.;NG5341;FARMINDUSTRIA;ACT
151;ACLASTA;5 mg/100 mL;Solución para Perfusión;INYECTABLE;Frasco X 100 mL;1;05/12/2020 12:00:00 a.m.;E17907;NOVARTIS;ACT
161;ACNOTIN;10 mg;Cápsula Blanda;CAPSULA;Caja Envase Blister Tabletas;30;26/07/2019 12:00:00 a.m.;E16635;BAGO;ACT
162;ACNOTIN;20 mg;Cápsula Blanda;CAPSULA;Caja Envase Blister Tabletas;30;11/08/2019 12:00:00 a.m.;E16657;BAGO;ACT
165;ACTEMRA;80 mg/4 mL;Concentrado para Solución para Perfusión;INYECTABLE;Caja Vial X 4 mL;1;15/10/2018 12:00:00 a.m.;BE00552;ROCHE;ACT
166;ACTEMRA;200 mg/10 mL;Concentrado para Solución para Perfusión;INYECTABLE;Caja Vial x 10 mL;1;14/11/2018 12:00:00 a.m.;BE00559;ROCHE;ACT
176;ACTILYSE;50 mg;Polvo para Solución Inyectable;INYECTABLE;Vial;1;29/11/2020 12:00:00 a.m.;BE00315;BOEHRINGER;ACT
180;ADACEL;;Suspensión Inyectable;INYECTABLE;Caja Frasco X 0.5 mL;1;08/01/2019 12:00:00 a.m.;BE00571;SANOFI;ACT
182;ADALAT OROS;20 mg;Tableta de Liberación Prolongada;TABLETA;Caja Envase Blister Tabletas;8;24/11/2018 12:00:00 a.m.;E11342;BAYER;ACT
183;ADALAT OROS;20 mg;Tableta de Liberación Prolongada;TABLETA;Caja Envase Blister Tabletas;16;24/11/2018 12:00:00 a.m.;E11342;BAYER;ACT
184;ADALAT OROS;30 mg;Tableta de Liberación Prolongada;TABLETA;Caja Envase Blister Tabletas;8;30/12/2019 12:00:00 a.m.;E12458;BAYER;ACT
